Linux,"Linux is an open-source operating system. Linux is free to use, and is maintained and updated by a group of volunteer developers around the world. Linux can be used on Desktop PCs, but is only popular for this amongst knowedeable computer experts and enthusiasts. While Linux only has a niche application for desktops, it is the most popular operating system for servers, with one estimate stating that over 70% of server on the internet use a Linux operating system."
machine learning,
Meteor,
mobile app,"A software application that lives and runs natively on a mobile device, like an iPhone or Android tablet. Examples include Instagram, Twitter, and mobile Safari."
MongoDB,MongoDB is a popular NoSQL database.
MySQL,"MySQL is one of the two most popular relational databases, along with PostgreSQL. "
native app,A software application that stores and runs the code for its user interface directly on a device. Desktop and mobile apps are both examples of native apps. Can be contrasted with a web app.
New Relic,
Node.js,"Node.js allows developers to use JavaScript, a language primarily associated with the frontend and the browser, on the backend. Node.js is one of the most popular choices for web backends, and allows developers to use only one language across a whole web app."
NoSQL,A type of database that is an alternative to relational databases. NoSQL databases do not use SQL to interact with data (hence the name). NoSQL databases are popular for types of data that have unkown or variable structure. NoSQL databases have other differences and trade-offs when compared to traditional relational databases as well.
NPM,
Objective-C,
open source,"Software that is built using code that is publicly visible and accesible. The prototypical example is Linux, an operating system that is free to use and modify. Linux is maintained by a distributed group of volunteer developers around the world. In contrast, Apple Mac OSX is closed source. The code is not publicly visible, and only paying customers who own Mac computers can use it. OSX is also only written and maintained by developers who work at Apple."
operating system,
payment gateway,"A service that simplifies the process of accepting payments by credit card, bank transfer, paypal and other systems. Developers and companies pay a small transaction fee to payment gateway providers in exchange for ease of setup, and to leverage the security and reliability of the provider. Common examples are Stripe and Braintree."
PHP,"PHP is a programming language that is popular for the backend of web apps. PHP was very popular in the 90s and 00s, and is still very popular outside of the US. In the US, it has fallen out of favor and is not used by many top developers."
PostgreSQL,"PostgreSQL is one of the two most popular relational databases, along with MySQL. "
Puppet,
Python,"Python is a programming language that is popular both for the web and for statistics, data science, and machine learning. Python is very easy to use and readable, much like Ruby, and has popular frameworks available like Django and Flask. A great choice for a backend language, especially if you also plan to have a lot of data science requirements."
React,"React.js is one of the most popular frameworks for building web frontends in JavaScript. Other options include Angular.js, Ember.js, and Backbone.js."
React Native,React Native allows developers to build hybrid mobile apps using the React JavaScript framework.
relational database,"The most popular type of database, relational databases can be thought of as a series of large excel spreadsheets. They store data in ""tables"" (like a spreadsheet), with data entered in rows with columns representing attributes for each row of data."
responsive design,"A design principle that takes into consideration different screen sizes when building UIs. A webpage with proper responsive design will look good in desktop, tablet, and mobile browsers on devices with any screen size."
REST,
Ruby,"Ruby is a modern programming language renowned for its ease-of-use and readability. Ruby became popular, and remains so today, because of its use with the Ruby on Rails backend web application framework. Ruby is used on the backend of many popular web apps."
Ruby on Rails,"A web application framework created to allow developers to build the backend of common web applications quickly and efficiently. Rails is built using the Ruby programming language, and provides a scaffolding for developers to write code on top of. This solid foundation allows for fast development and reduces the number of bugs that arise."
Sass,
Scala,"A modern, high-performance language based on Java. Scala is very popular for software with huge traffic or performance demands, but is not recommended for smaller software projects because developers can be hard to find and are expensive. Scala software will also generally take longer to build and update."
server,"Receives and responds to requests from a client over the internet. Most commonly in a web application, the server will receive a request from the client to retrieve, create, or update information stored in the database."
SQL,Structured Query Language. SQL is used to retreive and update data stored in most common relational databases.
SSL,Secure Sockets Layer. A system used by protocols like HTTP to encrypt data sent over the internet. SSL is the predecessor to TLS.
Stripe,A company that provides payment processing services for a transaction fee. 
Swift,
SysAdmin,
Ubuntu,
UI,
UX ,
versioning,
virtual machine,
web app,"A type of software where the user interface exists in your browser. Unlike a native application for mobile or desktop where the UI is always stored on the device, the UI for a web app is delivered over the internet to a web browser. Web app UIs are built using HTML, with interactivity provided by JavaScript, and a backend with a server and database."
Webpack,
Xamarin,
cloud,
